0,1,2,3,4,5,6,7,8,9,10,11
V,hJe,hC,hP,,,,,,,,
V,hJe,P,hP,,,,,,,,
V,S,hS,C,,,,,,,,
V,S,hS,hC,,,,,,,,
V,S,hS,P,,,,,,,,
V,S,hS,hP,,,,,,,,
V,S,C,hC,,,,,,,,
V,S,C,P,,,,,,,,
V,S,C,hP,,,,,,,,
V,S,hC,P,,,,,,,,
V,S,hC,hP,,,,,,,,
V,S,P,hP,,,,,,,,
V,hS,C,hC,,,,,,,,
V,hS,C,P,,,,,,,,
V,hS,C,hP,,,,,,,,
V,hS,hC,P,,,,,,,,
V,hS,hC,hP,,,,,,,,
V,hS,P,hP,,,,,,,,
V,C,hC,P,,,,,,,,
V,C,hC,hP,,,,,,,,
V,C,P,hP,,,,,,,,
V,hC,P,hP,,,,,,,,
hV,A,hA,Je,,,,,,,,
hV,A,hA,hJe,,,,,,,,
hV,A,hA,S,,,,,,,,
hV,A,hA,hS,,,,,,,,
hV,A,hA,C,,,,,,,,
hV,A,hA,hC,,,,,,,,
hV,A,hA,P,,,,,,,,
hV,A,hA,hP,,,,,,,,
hV,A,Je,hJe,,,,,,,,
hV,A,Je,S,,,,,,,,
hV,A,Je,hS,,,,,,,,
hV,A,Je,C,,,,,,,,
hV,A,Je,hC,,,,,,,,
hV,A,Je,P,,,,,,,,
hV,A,Je,hP,,,,,,,,
hV,A,hJe,S,,,,,,,,
hV,A,hJe,hS,,,,,,,,
hV,A,hJe,C,,,,,,,,
hV,A,hJe,hC,,,,,,,,
hV,A,hJe,P,,,,,,,,
hV,A,hJe,hP,,,,,,,,
hV,A,S,hS,,,,,,,,
hV,A,S,C,,,,,,,,
hV,A,S,hC,,,,,,,,
hV,A,S,P,,,,,,,,
hV,A,S,hP,,,,,,,,
hV,A,hS,C,,,,,,,,
hV,A,hS,hC,,,,,,,,
hV,A,hS,P,,,,,,,,
hV,A,hS,hP,,,,,,,,
hV,A,C,hC,,,,,,,,
hV,A,C,P,,,,,,,,
hV,A,C,hP,,,,,,,,
hV,A,hC,P,,,,,,,,
hV,A,hC,hP,,,,,,,,
hV,A,P,hP,,,,,,,,
hV,hA,Je,hJe,,,,,,,,
hV,hA,Je,S,,,,,,,,
hV,hA,Je,hS,,,,,,,,
hV,hA,Je,C,,,,,,,,
hV,hA,Je,hC,,,,,,,,
hV,hA,Je,P,,,,,,,,
hV,hA,Je,hP,,,,,,,,
hV,hA,hJe,S,,,,,,,,
hV,hA,hJe,hS,,,,,,,,
hV,hA,hJe,C,,,,,,,,
hV,hA,hJe,hC,,,,,,,,
hV,hA,hJe,P,,,,,,,,
hV,hA,hJe,hP,,,,,,,,
hV,hA,S,hS,,,,,,,,
hV,hA,S,C,,,,,,,,
hV,hA,S,hC,,,,,,,,
hV,hA,S,P,,,,,,,,
hV,hA,S,hP,,,,,,,,
hV,hA,hS,C,,,,,,,,
hV,hA,hS,hC,,,,,,,,
hV,hA,hS,P,,,,,,,,
hV,hA,hS,hP,,,,,,,,
hV,hA,C,hC,,,,,,,,
hV,hA,C,P,,,,,,,,
hV,hA,C,hP,,,,,,,,
hV,hA,hC,P,,,,,,,,
hV,hA,hC,hP,,,,,,,,
hV,hA,P,hP,,,,,,,,
hV,Je,hJe,S,,,,,,,,
hV,Je,hJe,hS,,,,,,,,
hV,Je,hJe,C,,,,,,,,
hV,Je,hJe,hC,,,,,,,,
hV,Je,hJe,P,,,,,,,,
hV,Je,hJe,hP,,,,,,,,
hV,Je,S,hS,,,,,,,,
hV,Je,S,C,,,,,,,,
hV,Je,S,hC,,,,,,,,
hV,Je,S,P,,,,,,,,
hV,Je,S,hP,,,,,,,,
hV,Je,hS,C,,,,,,,,
hV,Je,hS,hC,,,,,,,,
hV,Je,hS,P,,,,,,,,
hV,Je,hS,hP,,,,,,,,
hV,Je,C,hC,,,,,,,,
hV,Je,C,P,,,,,,,,
hV,Je,C,hP,,,,,,,,
hV,Je,hC,P,,,,,,,,
hV,Je,hC,hP,,,,,,,,
hV,Je,P,hP,,,,,,,,
hV,hJe,S,hS,,,,,,,,
hV,hJe,S,C,,,,,,,,
hV,hJe,S,hC,,,,,,,,
hV,hJe,S,P,,,,,,,,
hV,hJe,S,hP,,,,,,,,
hV,hJe,hS,C,,,,,,,,
hV,hJe,hS,hC,,,,,,,,
hV,hJe,hS,P,,,,,,,,
hV,hJe,hS,hP,,,,,,,,
hV,hJe,C,hC,,,,,,,,
hV,hJe,C,P,,,,,,,,
hV,hJe,C,hP,,,,,,,,
hV,hJe,hC,P,,,,,,,,
hV,hJe,hC,hP,,,,,,,,
hV,hJe,P,hP,,,,,,,,
hV,S,hS,C,,,,,,,,
hV,S,hS,hC,,,,,,,,
hV,S,hS,P,,,,,,,,
hV,S,hS,hP,,,,,,,,
hV,S,C,hC,,,,,,,,
hV,S,C,P,,,,,,,,
hV,S,C,hP,,,,,,,,
hV,S,hC,P,,,,,,,,
hV,S,hC,hP,,,,,,,,
hV,S,P,hP,,,,,,,,
hV,hS,C,hC,,,,,,,,
hV,hS,C,P,,,,,,,,
hV,hS,C,hP,,,,,,,,
hV,hS,hC,P,,,,,,,,
hV,hS,hC,hP,,,,,,,,
hV,hS,P,hP,,,,,,,,
hV,C,hC,P,,,,,,,,
hV,C,hC,hP,,,,,,,,
hV,C,P,hP,,,,,,,,
hV,hC,P,hP,,,,,,,,
A,hA,Je,hJe,,,,,,,,
A,hA,Je,S,,,,,,,,
A,hA,Je,hS,,,,,,,,
A,hA,Je,C,,,,,,,,
A,hA,Je,hC,,,,,,,,
A,hA,Je,P,,,,,,,,
A,hA,Je,hP,,,,,,,,
A,hA,hJe,S,,,,,,,,
A,hA,hJe,hS,,,,,,,,
A,hA,hJe,C,,,,,,,,
A,hA,hJe,hC,,,,,,,,
A,hA,hJe,P,,,,,,,,
A,hA,hJe,hP,,,,,,,,
A,hA,S,hS,,,,,,,,
A,hA,S,C,,,,,,,,
A,hA,S,hC,,,,,,,,
A,hA,S,P,,,,,,,,
A,hA,S,hP,,,,,,,,
A,hA,hS,C,,,,,,,,
A,hA,hS,hC,,,,,,,,
A,hA,hS,P,,,,,,,,
A,hA,hS,hP,,,,,,,,
A,hA,C,hC,,,,,,,,
A,hA,C,P,,,,,,,,
A,hA,C,hP,,,,,,,,
A,hA,hC,P,,,,,,,,
A,hA,hC,hP,,,,,,,,
A,hA,P,hP,,,,,,,,
A,Je,hJe,S,,,,,,,,
A,Je,hJe,hS,,,,,,,,
A,Je,hJe,C,,,,,,,,
A,Je,hJe,hC,,,,,,,,
A,Je,hJe,P,,,,,,,,
A,Je,hJe,hP,,,,,,,,
A,Je,S,hS,,,,,,,,
A,Je,S,C,,,,,,,,
A,Je,S,hC,,,,,,,,
A,Je,S,P,,,,,,,,
A,Je,S,hP,,,,,,,,
A,Je,hS,C,,,,,,,,
A,Je,hS,hC,,,,,,,,
A,Je,hS,P,,,,,,,,
A,Je,hS,hP,,,,,,,,
A,Je,C,hC,,,,,,,,
A,Je,C,P,,,,,,,,
A,Je,C,hP,,,,,,,,
A,Je,hC,P,,,,,,,,
A,Je,hC,hP,,,,,,,,
A,Je,P,hP,,,,,,,,
A,hJe,S,hS,,,,,,,,
A,hJe,S,C,,,,,,,,
A,hJe,S,hC,,,,,,,,
A,hJe,S,P,,,,,,,,
A,hJe,S,hP,,,,,,,,
A,hJe,hS,C,,,,,,,,
A,hJe,hS,hC,,,,,,,,
A,hJe,hS,P,,,,,,,,
A,hJe,hS,hP,,,,,,,,
A,hJe,C,hC,,,,,,,,
A,hJe,C,P,,,,,,,,
A,hJe,C,hP,,,,,,,,
A,hJe,hC,P,,,,,,,,
A,hJe,hC,hP,,,,,,,,
A,hJe,P,hP,,,,,,,,
A,S,hS,C,,,,,,,,
A,S,hS,hC,,,,,,,,
A,S,hS,P,,,,,,,,
A,S,hS,hP,,,,,,,,
A,S,C,hC,,,,,,,,
A,S,C,P,,,,,,,,
A,S,C,hP,,,,,,,,
A,S,hC,P,,,,,,,,
A,S,hC,hP,,,,,,,,
A,S,P,hP,,,,,,,,
A,hS,C,hC,,,,,,,,
A,hS,C,P,,,,,,,,
A,hS,C,hP,,,,,,,,
A,hS,hC,P,,,,,,,,
A,hS,hC,hP,,,,,,,,
A,hS,P,hP,,,,,,,,
A,C,hC,P,,,,,,,,
A,C,hC,hP,,,,,,,,
A,C,P,hP,,,,,,,,
A,hC,P,hP,,,,,,,,
hA,Je,hJe,S,,,,,,,,
hA,Je,hJe,hS,,,,,,,,
hA,Je,hJe,C,,,,,,,,
hA,Je,hJe,hC,,,,,,,,
hA,Je,hJe,P,,,,,,,,
hA,Je,hJe,hP,,,,,,,,
hA,Je,S,hS,,,,,,,,
hA,Je,S,C,,,,,,,,
hA,Je,S,hC,,,,,,,,
hA,Je,S,P,,,,,,,,
hA,Je,S,hP,,,,,,,,
hA,Je,hS,C,,,,,,,,
hA,Je,hS,hC,,,,,,,,
hA,Je,hS,P,,,,,,,,
hA,Je,hS,hP,,,,,,,,
hA,Je,C,hC,,,,,,,,
hA,Je,C,P,,,,,,,,
hA,Je,C,hP,,,,,,,,
hA,Je,hC,P,,,,,,,,
hA,Je,hC,hP,,,,,,,,
hA,Je,P,hP,,,,,,,,
hA,hJe,S,hS,,,,,,,,
hA,hJe,S,C,,,,,,,,
hA,hJe,S,hC,,,,,,,,
hA,hJe,S,P,,,,,,,,
hA,hJe,S,hP,,,,,,,,
hA,hJe,hS,C,,,,,,,,
hA,hJe,hS,hC,,,,,,,,
hA,hJe,hS,P,,,,,,,,
hA,hJe,hS,hP,,,,,,,,
hA,hJe,C,hC,,,,,,,,
hA,hJe,C,P,,,,,,,,
hA,hJe,C,hP,,,,,,,,
hA,hJe,hC,P,,,,,,,,
hA,hJe,hC,hP,,,,,,,,
hA,hJe,P,hP,,,,,,,,
hA,S,hS,C,,,,,,,,
hA,S,hS,hC,,,,,,,,
hA,S,hS,P,,,,,,,,
hA,S,hS,hP,,,,,,,,
hA,S,C,hC,,,,,,,,
hA,S,C,P,,,,,,,,
hA,S,C,hP,,,,,,,,
hA,S,hC,P,,,,,,,,
hA,S,hC,hP,,,,,,,,
hA,S,P,hP,,,,,,,,
hA,hS,C,hC,,,,,,,,
hA,hS,C,P,,,,,,,,
hA,hS,C,hP,,,,,,,,
hA,hS,hC,P,,,,,,,,
hA,hS,hC,hP,,,,,,,,
hA,hS,P,hP,,,,,,,,
hA,C,hC,P,,,,,,,,
hA,C,hC,hP,,,,,,,,
hA,C,P,hP,,,,,,,,
hA,hC,P,hP,,,,,,,,
Je,hJe,S,hS,,,,,,,,
Je,hJe,S,C,,,,,,,,
Je,hJe,S,hC,,,,,,,,
Je,hJe,S,P,,,,,,,,
Je,hJe,S,hP,,,,,,,,
Je,hJe,hS,C,,,,,,,,
Je,hJe,hS,hC,,,,,,,,
Je,hJe,hS,P,,,,,,,,
Je,hJe,hS,hP,,,,,,,,
Je,hJe,C,hC,,,,,,,,
Je,hJe,C,P,,,,,,,,
Je,hJe,C,hP,,,,,,,,
Je,hJe,hC,P,,,,,,,,
Je,hJe,hC,hP,,,,,,,,
Je,hJe,P,hP,,,,,,,,
Je,S,hS,C,,,,,,,,
Je,S,hS,hC,,,,,,,,
Je,S,hS,P,,,,,,,,
Je,S,hS,hP,,,,,,,,
Je,S,C,hC,,,,,,,,
Je,S,C,P,,,,,,,,
Je,S,C,hP,,,,,,,,
Je,S,hC,P,,,,,,,,
Je,S,hC,hP,,,,,,,,
Je,S,P,hP,,,,,,,,
Je,hS,C,hC,,,,,,,,
Je,hS,C,P,,,,,,,,
Je,hS,C,hP,,,,,,,,
Je,hS,hC,P,,,,,,,,
Je,hS,hC,hP,,,,,,,,
Je,hS,P,hP,,,,,,,,
Je,C,hC,P,,,,,,,,
Je,C,hC,hP,,,,,,,,
Je,C,P,hP,,,,,,,,
Je,hC,P,hP,,,,,,,,
hJe,S,hS,C,,,,,,,,
hJe,S,hS,hC,,,,,,,,
hJe,S,hS,P,,,,,,,,
hJe,S,hS,hP,,,,,,,,
hJe,S,C,hC,,,,,,,,
hJe,S,C,P,,,,,,,,
hJe,S,C,hP,,,,,,,,
hJe,S,hC,P,,,,,,,,
hJe,S,hC,hP,,,,,,,,
hJe,S,P,hP,,,,,,,,
hJe,hS,C,hC,,,,,,,,
hJe,hS,C,P,,,,,,,,
hJe,hS,C,hP,,,,,,,,
hJe,hS,hC,P,,,,,,,,
hJe,hS,hC,hP,,,,,,,,
hJe,hS,P,hP,,,,,,,,
hJe,C,hC,P,,,,,,,,
hJe,C,hC,hP,,,,,,,,
hJe,C,P,hP,,,,,,,,
hJe,hC,P,hP,,,,,,,,
